"tic","invest"
"WMLP",1002.00400801603
"WMPN",1002.00400801603
"WMRSF",1002.00400801603
"WP",1002.00400801603
"WPX",1002.00400801603
"WSPOF",1002.00400801603
"WSR",1002.00400801603
"WTHVF",1002.00400801603
"WTRNF",1002.00400801603
"XBIO",1002.00400801603
"XELB",1002.00400801603
"XGTI",1002.00400801603
"XNET",1002.00400801603
"XNY.1",1002.00400801603
"XRELF",1002.00400801603
"XTLB",1002.00400801603
"XTMCF",1002.00400801603
"XTNT",1002.00400801603
"XTNY",1002.00400801603
"XYL",1002.00400801603
"XYLTF",1002.00400801603
"YELP",1002.00400801603
"YGYI",1002.00400801603
"YHMGF",1002.00400801603
"YNDX",1002.00400801603
"YUANF",1002.00400801603
"ZDEXF",1002.00400801603
"ZEAL",1002.00400801603
"ZENYF",1002.00400801603
"ZG",1002.00400801603
"ZGNX",1002.00400801603
"ZMTP",1002.00400801603
